fips	population	density
19061	96854	15913
19065	19660	2727
19081	10712	1907
19085	14134	203
19087	20067	4588
19103	151260	2394
19109	14908	155
19113	225909	30984
19139	42929	9818
19153	487204	82656
19155	93533	984
19157	18699	3181
19163	173283	3761
19167	34909	4533
19169	98105	1692
19171	16904	2377
19179	35205	8178
19183	22141	3893
19191	20029	2957
19193	102539	11732
20011	14653	2314
20015	66765	4649
20021	20015	346
20045	121436	26174
20057	33888	314
20059	25631	4471
20085	13280	203
20091	597555	123687
20103	81352	17294
20107	9750	1622
20111	33406	3929
20123	6150	887
20127	5521	801
20155	62342	5027
20161	73703	12348
20173	513607	51334
20209	165324	108407
21003	21122	6039
21005	22663	11006
21017	20184	6953
21025	12726	2664
21035	39135	10071
21047	71671	10071
21049	36249	14209
21059	101104	21804
21067	323780	112369
21073	50815	2421
21093	110356	17343
21097	18778	6093
21101	45591	10566
21111	770517	201662
21113	53920	30457
21117	166051	10277
21141	26989	4863
21143	8009	3828
21151	92368	20513
21173	28203	14065
21179	45851	10871
21185	66470	34919
21199	64623	9742
21209	56031	18993
21215	18794	9774
21227	131264	23343
22001	62190	9551
22003	25605	3368
22005	124672	41788
22007	22300	6707
22009	40462	4911
22011	37253	3177
22013	13308	1685
22015	127185	15015
22017	242922	2827
22019	203112	1882
22025	9608	1397
22027	15944	214
22031	27436	3108
22033	440956	97523
22039	33443	5078
22043	22482	3475
22045	70941	12661
22047	32721	5327
22051	434051	147244
22055	242782	89346
22057	98115	9194
22061	47196	10039
22063	139567	21308
22069	38659	3111
22071	391006	229985
22073	154475	25569
22075	23410	2997
22079	130562	9981
22083	20192	3662
22087	46721	12104
22089	52879	18892
22093	21037	8842
22095	43184	2039
22097	82764	9032
22099	53621	7287
22101	49774	9315
22103	258111	29814
22105	133777	16493
22109	111021	914
22117	46582	6939
22119	38798	6683
22121	26427	13441
23001	107679	22962
23005	293557	34834
23011	122083	14011
23013	39771	10906
23015	34342	7474
23017	57618	276
23019	151096	4467
23023	35634	13905
23031	206229	20501
24003	576031	136827
24005	828431	138329
24009	92003	42731
24011	33304	10292
24013	168429	37427
24015	102826	29606
24017	161503	34445
24021	255648	37635
24023	29163	454
24025	253956	57431
24027	323196	125758
24031	1052567	21173
24033	909308	18774
24035	50251	13271
24037	112664	31225
24039	25675	805
24041	36968	13857
24043	150926	32726
24045	103195	27286
24047	51823	11011
24510	602495	759417
25001	213413	54274
25003	126348	13738
25005	564022	10105
25009	790638	158563
25011	70963	10143
25013	470406	76014
25015	161355	30566
25017	1614714	195055
25019	11327	24685
25021	705388	176279
25023	518132	77705
25025	807252	1361492
25027	830839	54428
26005	117327	13966
26015	61157	10858
26017	103923	23691
26021	154141	27267
26025	134487	19041
26029	26244	6298
26033	37517	2428
26035	30757	5425
26037	79332	13753
26045	109826	18978
26047	33308	7067
26049	406892	64266
26051	25337	504
26055	92573	19759
26065	292735	52069
26075	158823	22648
26077	264870	46572
26081	653786	75936
26089	21764	6233
26093	191224	33345
26099	874759	181273
26111	83209	16153
26115	150439	27248
26117	63968	8961
26121	173588	34661
26123	48892	592
26125	1259201	144162
26137	24665	4738
26139	290494	50408
26143	23884	4595
26145	190800	24094
26147	159337	22126
26157	52516	663
26161	370963	51838
26163	1753893	28777
26165	33466	586
27003	353813	82133
27009	40545	9743
27011	4989	1005
27013	67427	8868
27019	103551	2834
27021	29519	1436
27025	55922	13192
27027	63955	6008
27037	425423	74391
27039	20822	4685
27045	21058	2425
27053	1259428	223175
27063	9911	1429
27073	6658	885
27079	28494	6236
27091	19785	2803
27099	40011	5567
27103	34220	7533
27109	156277	23428
27123	550210	355748
27129	14612	1498
27131	66523	13268
27137	199754	3203
27139	147381	40219
27141	96036	21536
27145	159256	11676
27147	36803	8536
27157	21645	4111
27161	18691	4443
27163	259201	6592
27171	136349	20069
28001	31192	6822
28007	18365	2528
28011	31333	3718
28017	17171	3444
28025	19386	483
28027	22628	4309
28029	28543	3695
28033	182001	36991
28035	75036	16194
28037	7788	1376
28039	24250	4953
28043	21055	5041
28045	47334	9848
28047	206650	35301
28049	237085	27798
28051	17622	2389
28053	8257	204
28057	23517	4407
28059	143277	19649
28067	68461	9852
28071	54793	8463
28073	62447	12317
28077	12455	2933
28079	22763	3923
28081	85202	18872
28083	28919	503
28085	34205	5875
28087	58930	11758
28089	105630	14485
28091	24715	4647
28093	35451	5068
28095	35564	4684
28097	10023	2506
28105	49599	10799
28107	34178	4998
28109	55387	6801
28111	11931	1858
28113	39563	9715
28115	31833	6292
28121	153902	19503
28123	28287	4664
28127	26758	4595
28129	16002	2525
28133	25735	3802
28135	13987	2226
28137	28759	704
28139	21995	4803
28143	9944	2237
28145	28606	6823
28147	14465	3615
28151	45063	6497
28155	9788	2335
28157	8792	1326
28159	18165	3023
28163	28248	3031
29001	25339	4464
29013	16320	1957
29019	180005	25753
29027	44889	5373
29029	45815	6875
29037	104954	14735
29043	86983	14978
29047	246365	60198
29049	20470	4887
29051	76796	1949
29069	29423	5624
29077	291923	42711
29083	21792	3123
29095	700307	114482
29097	120636	18675
29101	53652	6474
29107	32598	5186
29135	16121	3845
29157	19150	4036
29169	52014	9613
29183	399182	69586
29187	66692	14681
29189	996945	196669
29201	38458	9221
29213	55852	8652
